ProjectID|CustomerID|ProjectType|Status|StartDateStr|CompletionDateStr|BidAmount|FinalAmount|CostOverrunAmount|ProfitMargin|Warranty|ServicePlan|ConstructionType|SquareFootage|City|Neighborhood|ArchitecturalFirm|GeneralContractor|BidWinDate|EstimatedHours|ActualHours|DelayImpactHours|EstimatedCompletionDate|DelayReason|CustomerSatisfaction
322|66|Golf Simulator Room|Contract Signed|2022-02-18|N/A|22760.29|TBD|0.0|TBD|TBD|TBD|Major Remodel|8214|Redmond|Sammamish Valley|Calhoun, Stone and Montgomery|Kaiser, Warren and Shepard|2022-02-09|587|TBD|0|2022-07-02|N/A|N/A
323|50|Automated Lighting Control|In Progress|2022-05-18|TBD|205427.94|201780.04|0.0|TBD|TBD|TBD|Major Remodel|3740|Mercer Island|South End|Carter-Rivera|Stephenson-Blake|2022-05-07|345|345|0|2022-06-28|N/A|N/A
324|345|Golf Simulator Room|Completed|2025-02-16|2025-03-11|251591.96|311542.64|0|TBD|5 years|Premium|Addition|12434|Redmond|Sammamish Valley|N/A|Young Inc|2025-01-23|324|313|0|2025-03-25|N/A|5
325|708|Whole-Home Automation|In Progress|2024-02-12|TBD|126616.69|137110.0|0.0|TBD|TBD|TBD|Addition|6352|Bellevue|Somerset|Hull and Sons|Walls, Ritter and Terrell|2024-01-28|411|411|0|2024-05-05|N/A|N/A
326|644|Whole Home Battery Backup|On Hold|2023-11-10|N/A|252421.0|275307.55|0.0|TBD|TBD|TBD|System Upgrade|14089|Seattle|Medina|N/A|Vang-Stark|2023-10-20|369|TBD|0|2023-12-13|N/A|N/A
327|239|Outdoor Entertainment System|Contract Signed|2021-04-03|N/A|280798.17|TBD|0.0|TBD|TBD|TBD|System Upgrade|7428|Seattle|Broadmoor|N/A|Murphy, Guzman and White|2021-03-26|41|TBD|0|2021-08-21|N/A|N/A
328|472|Luxury Home Theater|Completed|2022-12-26|2023-04-06|100281.3|115045.96|0|TBD|3 years|Standard|Addition|10719|Bellevue|Bridle Trails|Cook-Ritter|Perkins, King and Huang|2022-11-28|380|382|0|2023-03-01|Subcontractor Issues|3
329|4|Smart Home Integration|On Hold|2023-01-19|N/A|205719.33|202648.38|0.0|TBD|TBD|TBD|System Upgrade|14251|Redmond|Education Hill|Morrison, Rodriguez and Pittman|Mitchell, Phillips and Munoz|2022-12-21|356|TBD|0|2023-03-19|N/A|N/A
330|562|Integrated Climate Control|Completed|2025-03-26|2025-08-04|254810.0|261670.53|0|TBD|4 years|Standard|Addition|3510|Woodinville|Hollywood Hill|Higgins-Caldwell|Wilson-Eaton|2025-03-11|572|705|70|2025-07-15|Client Changes|5
331|480|Automated Lighting Control|Completed|2024-06-29|2024-10-02|274374.03|297526.31|6834.04|TBD|1 years|None|New Construction|9087|Seattle|Hunts Point|Ortiz-Pratt|Thornton Ltd|2024-04-19|510|669|74|2024-09-09|Inspection Delays|3
332|472|Automated Shading Solutions|In Progress|2021-11-03|TBD|169176.72|170826.51|0.0|TBD|TBD|TBD|New Construction|9887|Seattle|Broadmoor|N/A|Parrish Inc|2021-09-27|430|430|0|2022-01-09|N/A|N/A
333|57|Luxury Home Theater|Completed|2022-03-27|2022-07-14|29733.41|36702.71|0|TBD|2 years|None|Addition|8183|Bellevue|West Bellevue|Johnson-Barnes|King, Johnson and Stewart|2022-02-28|501|564|3|2022-05-26|Weather|3
334|80|Smart Home Integration|In Progress|2024-02-05|TBD|247593.68|244878.57|0.0|TBD|TBD|TBD|Addition|8143|Bellevue|Beaux Arts|N/A|Garcia Inc|2024-01-29|497|497|0|2024-07-03|N/A|N/A
335|518|Whole Home Battery Backup|Completed|2024-01-21|2024-03-02|238531.63|273175.78|0|TBD|1 years|Basic|Addition|5746|Bellevue|Newport Shores|Mann Group|Bradshaw, Allen and Brown|2023-11-23|503|556|4|2024-03-01|Material Delays|5
336|342|Smart Home Integration|Completed|2023-11-15|2024-01-08|72120.53|83500.23|0|TBD|4 years|None|Major Remodel|4876|Sammamish|Trossachs|N/A|Horne-Thompson|2023-11-07|577|764|0|2024-02-05|N/A|3
337|398|Custom Security System|Completed|2024-01-26|2024-07-02|204709.0|204061.15|0|TBD|5 years|None|New Construction|13630|Redmond|Sammamish Valley|N/A|Baldwin, Kerr and Jones|2024-01-17|142|193|0|2024-07-13|N/A|5
338|569|Custom Wine Cellar Monitoring|Design Phase|2024-05-05|N/A|232491.26|TBD|0.0|TBD|TBD|TBD|Major Remodel|10881|Woodinville|Bear Creek|Reid-Martin|Bryant-Sawyer|2024-04-20|88|TBD|0|2024-07-04|N/A|N/A
339|532|Luxury Home Theater|Completed|2024-02-08|2024-05-12|105901.94|112326.37|0|TBD|3 years|None|System Upgrade|10540|Redmond|Education Hill|N/A|Lopez-Brown|2024-01-27|269|363|65|2024-05-07|Subcontractor Issues|5
340|331|Whole Home Battery Backup|Cancelled|2022-04-07|2022-05-22|179472.51|TBD|0.0|TBD|TBD|TBD|New Construction|5798|Mercer Island|North End|Anderson Inc|Stephens Inc|2022-03-02|386|62|0|2022-06-24|Scope Change Rejected|N/A
341|281|Luxury Home Theater|Design Phase|2024-07-18|N/A|148230.05|TBD|0.0|TBD|TBD|TBD|New Construction|11598|Redmond|Sammamish Valley|N/A|Stephens-Lopez|2024-07-08|490|TBD|0|2024-11-06|N/A|N/A
342|233|Custom Security System|In Progress|2022-07-28|TBD|374629.89|360496.1|0.0|TBD|TBD|TBD|System Upgrade|10919|Seattle|Clyde Hill|N/A|Ryan-Yates|2022-07-04|416|416|0|2022-11-14|N/A|N/A
343|655|Luxury Home Theater|Completed|2022-10-23|2023-02-18|231254.18|255135.5|0|TBD|4 years|Premium|Addition|11810|Seattle|Clyde Hill|N/A|Butler-Flores|2022-09-27|450|628|29|2023-01-11|Material Delays|5
344|306|Whole Home Battery Backup|In Progress|2024-07-09|TBD|228205.08|218777.68|0.0|TBD|TBD|TBD|Major Remodel|9934|Woodinville|Hollywood Hill|N/A|Reed-Hensley|2024-07-01|564|564|0|2024-11-25|N/A|N/A
345|450|Voice Control Integration|Completed|2021-05-16|2021-08-19|231074.66|259814.99|0|TBD|2 years|Premium|Major Remodel|12853|Mercer Island|South End|Palmer-Bennett|Hamilton-Erickson|2021-05-04|366|355|0|2021-07-19|Inspection Delays|5
346|180|Smart Home Integration|In Progress|2023-11-09|TBD|138630.75|134978.9|0.0|TBD|TBD|TBD|System Upgrade|13527|Seattle|Laurelhurst|Miller-Conrad|Fuller PLC|2023-10-10|253|253|0|2024-04-30|N/A|N/A
347|181|Biometric Security System|Completed|2023-02-09|2023-07-24|25331.47|28201.46|418.5|TBD|5 years|None|Addition|10715|Mercer Island|South End|N/A|Boyd, Morgan and Jones|2023-01-17|110|114|2|2023-06-14|Inspection Delays|3
348|681|Golf Simulator Room|Completed|2022-12-09|2023-07-12|39952.08|37995.55|0|TBD|5 years|Premium|New Construction|5647|Seattle|Laurelhurst|Melendez PLC|Fernandez, Reynolds and Williams|2022-12-01|405|407|0|2023-06-03|Subcontractor Issues|4
349|295|Biometric Security System|Completed|2024-03-02|2024-06-12|274100.1|266014.36|0|TBD|3 years|None|System Upgrade|12215|Seattle|Queen Anne|Flowers-Austin|Lawrence-Espinoza|2024-02-11|141|181|0|2024-06-13|N/A|4
350|725|Golf Simulator Room|Completed|2021-09-21|2021-12-13|370902.37|434714.35|0|TBD|1 years|Standard|New Construction|12423|Woodinville|Hollywood Hill|N/A|Juarez, Thompson and Mason|2021-08-12|588|593|5|2021-11-22|Weather|3
351|247|Golf Simulator Room|Completed|2021-08-27|2021-12-01|176984.47|172964.42|0|TBD|4 years|None|Major Remodel|8135|Woodinville|Hollywood Hill|Holder PLC|Cole-Johnson|2021-08-20|465|511|7|2021-11-13|Inspection Delays|5
352|568|Integrated Climate Control|Contract Signed|2021-03-07|N/A|115503.01|TBD|0.0|TBD|TBD|TBD|New Construction|4185|Seattle|Queen Anne|Williams Inc|Robinson, Craig and Olsen|2021-02-18|176|TBD|0|2021-05-08|N/A|N/A
353|252|Home Network Infrastructure|Completed|2023-05-13|2023-07-27|316552.03|314052.59|0|TBD|2 years|Basic|System Upgrade|3440|Sammamish|Sahalee|N/A|Peters, Conway and Davis|2023-04-13|136|180|39|2023-06-16|Client Changes|4
354|563|Voice Control Integration|Proposal|2022-12-19|N/A|176532.55|TBD|0.0|TBD|TBD|TBD|System Upgrade|5295|Bellevue|Newport Shores|Fischer, Jackson and Reese|Clark Group|2022-11-29|444|TBD|0|2023-04-05|N/A|N/A
355|47|Voice Control Integration|Completed|2023-09-30|2024-01-13|231205.73|232427.13|418.52|TBD|4 years|Basic|Addition|7304|Seattle|Hunts Point|Mills-Baird|French Ltd|2023-09-15|263|306|0|2024-02-04|N/A|4
356|409|Automated Lighting Control|In Progress|2024-01-27|TBD|322997.47|341201.31|0.0|TBD|TBD|TBD|System Upgrade|7727|Mercer Island|North End|Gardner-Taylor|Park, Strickland and Lopez|2024-01-15|382|382|0|2024-04-11|N/A|N/A
357|203|Voice Control Integration|Completed|2022-01-05|2022-08-03|118203.54|142544.64|0|TBD|1 years|Basic|System Upgrade|14249|Redmond|Sammamish Valley|Rice Ltd|Jarvis-Bowen|2021-12-21|274|233|0|2022-06-21|Weather|3
358|9|Custom Wine Cellar Monitoring|Contract Signed|2021-07-10|N/A|233784.34|TBD|0.0|TBD|TBD|TBD|System Upgrade|6500|Seattle|Hunts Point|Smith Group|Hoffman-Guerra|2021-06-30|508|TBD|0|2022-01-06|N/A|N/A
359|741|Custom Security System|In Progress|2024-04-09|TBD|205847.38|187393.88|0.0|TBD|TBD|TBD|System Upgrade|11225|Seattle|Clyde Hill|Booker-Frye|Russell Ltd|2024-03-21|491|491|0|2024-07-10|N/A|N/A
360|548|Automated Lighting Control|On Hold|2023-09-11|N/A|231076.48|222969.04|0.0|TBD|TBD|TBD|New Construction|7098|Seattle|Magnolia|Perez, Walker and Little|Li-Webster|2023-09-02|359|TBD|0|2023-11-01|N/A|N/A
361|538|Smart Home Integration|Proposal|2024-07-16|N/A|218730.09|TBD|0.0|TBD|TBD|TBD|New Construction|3742|Sammamish|Sahalee|Padilla, Castillo and Peterson|Thompson-Finley|2024-06-20|537|TBD|0|2024-08-18|N/A|N/A
362|251|Golf Simulator Room|Contract Signed|2022-09-09|N/A|253193.01|TBD|0.0|TBD|TBD|TBD|New Construction|5339|Kirkland|Juanita|N/A|Trevino Group|2022-07-07|94|TBD|0|2023-02-02|N/A|N/A
363|190|Automated Lighting Control|Proposal|2025-01-17|N/A|21009.47|TBD|0.0|TBD|TBD|TBD|New Construction|3864|Seattle|Laurelhurst|N/A|Newman-Wang|2024-12-12|223|TBD|0|2025-04-24|N/A|N/A
364|78|Automated Shading Solutions|Completed|2023-06-04|2023-11-22|306974.3|294559.64|0|TBD|1 years|Premium|Addition|10870|Seattle|Clyde Hill|Scott and Sons|Schmidt-Thornton|2023-05-17|59|61|0|2023-09-27|Weather|4
365|602|Automated Lighting Control|Completed|2025-02-21|2025-04-10|329284.48|372670.14|18501.39|TBD|4 years|Standard|System Upgrade|3612|Seattle|Clyde Hill|Robinson-David|Walker-Fields|2025-01-11|59|82|0|2025-04-28|N/A|4
366|78|Multi-Room Audio Video|Contract Signed|2024-09-23|N/A|257873.04|TBD|0.0|TBD|TBD|TBD|New Construction|13866|Woodinville|Hollywood Hill|Jackson LLC|Livingston-Johnson|2024-09-16|426|TBD|0|2025-01-26|N/A|N/A
367|751|Integrated Climate Control|In Progress|2022-03-02|TBD|252982.06|246081.58|0.0|TBD|TBD|TBD|Addition|4912|Seattle|Queen Anne|Martin, Scott and Hines|Rivera LLC|2022-02-02|254|254|0|2022-06-18|N/A|N/A
368|764|Automated Shading Solutions|Completed|2022-11-19|2023-04-15|241068.29|265143.51|3174.42|TBD|4 years|Basic|Addition|10035|Seattle|Queen Anne|Odonnell-Boyd|Clarke, Sutton and Zavala|2022-10-12|330|303|0|2023-04-03|Weather|5
369|653|Custom Wine Cellar Monitoring|On Hold|2024-04-09|N/A|251108.25|249780.06|0.0|TBD|TBD|TBD|Major Remodel|7533|Mercer Island|North End|Stafford-Bird|Johnson, Garcia and Perry|2024-03-22|487|TBD|0|2024-07-11|N/A|N/A
370|379|Biometric Security System|Completed|2021-12-30|2022-04-19|153186.35|163354.93|0|TBD|2 years|None|System Upgrade|10994|Woodinville|Bear Creek|N/A|Medina, Best and Ward|2021-11-06|404|529|11|2022-03-29|Material Delays|5
371|239|Voice Control Integration|Completed|2024-08-02|2024-12-24|75185.08|94534.33|0|TBD|2 years|None|System Upgrade|9452|Kirkland|Juanita|Fisher, Mueller and Mitchell|Stevens, Rose and Skinner|2024-07-20|466|423|0|2024-12-16|Material Delays|3
372|106|Automated Shading Solutions|Completed|2024-02-24|2024-08-27|91138.93|115634.71|0|TBD|2 years|Standard|Addition|11091|Issaquah|Squak Mountain|James-Smith|Robertson-Pennington|2024-01-30|170|227|36|2024-07-07|Inspection Delays|4
373|421|Automated Lighting Control|Contract Signed|2021-06-17|N/A|291012.85|TBD|0.0|TBD|TBD|TBD|Major Remodel|8308|Bellevue|West Bellevue|Reese-Reynolds|Perez, Lopez and White|2021-05-24|468|TBD|0|2021-11-11|N/A|N/A
374|690|Integrated Climate Control|Completed|2023-10-22|2024-02-14|243463.25|295373.94|0|TBD|3 years|None|New Construction|9803|Seattle|Madison Park|N/A|Hanna and Sons|2023-09-06|66|85|12|2024-01-23|Inspection Delays|3
375|134|Custom Wine Cellar Monitoring|Proposal|2021-06-20|N/A|49069.69|TBD|0.0|TBD|TBD|TBD|Major Remodel|3378|Redmond|Sammamish Valley|Stephens-Rivera|Marshall, Norris and Johnson|2021-06-09|241|TBD|0|2021-11-28|N/A|N/A
376|792|Biometric Security System|Completed|2023-08-24|2023-10-13|286210.86|329384.13|21137.9|TBD|1 years|Standard|System Upgrade|9524|Seattle|Queen Anne|Sweeney, Vance and Allen|Green, Edwards and Pittman|2023-07-03|137|157|13|2023-09-24|Subcontractor Issues|5
377|472|Outdoor Entertainment System|In Progress|2022-01-12|TBD|159699.25|166168.07|0.0|TBD|TBD|TBD|System Upgrade|9643|Seattle|Queen Anne|Wilkinson, Haley and Fisher|Freeman Inc|2021-12-10|187|187|0|2022-04-23|N/A|N/A
378|420|Custom Security System|Completed|2024-04-13|2024-09-11|83390.88|91293.33|0|TBD|3 years|Premium|System Upgrade|12292|Kirkland|Houghton|Peters, Morris and Brown|Raymond Inc|2024-04-06|347|336|0|2024-10-10|N/A|5
379|174|Automated Lighting Control|Design Phase|2024-10-08|N/A|137602.57|TBD|0.0|TBD|TBD|TBD|New Construction|3538|Seattle|Madison Park|Villarreal and Sons|Hunt, Benson and Allen|2024-08-11|269|TBD|0|2025-03-27|N/A|N/A
380|279|Home Network Infrastructure|Design Phase|2024-03-15|N/A|286014.12|TBD|0.0|TBD|TBD|TBD|New Construction|4332|Seattle|Queen Anne|N/A|Porter, Camacho and Bennett|2024-02-15|292|TBD|0|2024-07-25|N/A|N/A
381|76|Home Network Infrastructure|Completed|2022-03-18|2022-09-25|49153.12|47763.4|0|TBD|3 years|Premium|New Construction|10113|Redmond|Sammamish Valley|N/A|Walker, Kelly and Dunn|2022-02-06|533|688|70|2022-08-02|Inspection Delays|3
382|166|Automated Shading Solutions|Proposal|2024-01-20|N/A|229618.99|TBD|0.0|TBD|TBD|TBD|New Construction|3408|Seattle|Clyde Hill|N/A|Flores PLC|2024-01-07|50|TBD|0|2024-05-31|N/A|N/A
383|253|Golf Simulator Room|Contract Signed|2021-03-21|N/A|357668.21|TBD|0.0|TBD|TBD|TBD|Addition|11917|Seattle|Clyde Hill|Johnson Ltd|Potts LLC|2021-02-26|467|TBD|0|2021-09-10|N/A|N/A
384|77|Smart Water Management|On Hold|2021-09-07|N/A|127920.92|121809.71|0.0|TBD|TBD|TBD|Major Remodel|3981|Seattle|Queen Anne|Clark LLC|Nguyen Group|2021-07-26|304|TBD|0|2021-11-27|N/A|N/A
385|699|Custom Security System|Completed|2024-11-25|2025-03-04|331645.88|417646.92|0|TBD|3 years|None|New Construction|6330|Seattle|Broadmoor|Anderson Ltd|Henry-Dixon|2024-11-16|537|486|0|2025-01-18|Client Changes|3
386|325|Smart Home Integration|Cancelled|2021-02-03|2021-04-29|123117.43|TBD|0.0|TBD|TBD|TBD|New Construction|5171|Issaquah|Issaquah Highlands|Jones-Flores|Diaz-Reynolds|2020-12-30|515|67|0|2021-05-21|Client Decision|N/A
387|630|Golf Simulator Room|Completed|2023-09-20|2023-12-03|85601.97|83471.48|0|TBD|4 years|Basic|New Construction|3614|Sammamish|Trossachs|N/A|Richardson, Terry and Perkins|2023-08-11|258|287|16|2023-11-08|Material Delays|4
388|344|Custom Security System|Cancelled|2024-09-08|2024-09-18|144867.38|TBD|0.0|TBD|TBD|TBD|New Construction|4247|Mercer Island|South End|Gomez-Simpson|Cooper, Hudson and Cherry|2024-07-30|333|19|0|2024-11-08|Client Decision|N/A
389|77|Home Network Infrastructure|In Progress|2021-04-16|TBD|316513.82|306204.03|0.0|TBD|TBD|TBD|System Upgrade|5875|Woodinville|Bear Creek|Vance LLC|Allen, Soto and Anderson|2021-03-08|229|229|0|2021-09-03|N/A|N/A
390|584|Home Network Infrastructure|In Progress|2024-07-20|TBD|208339.78|225627.88|0.0|TBD|TBD|TBD|System Upgrade|9978|Bellevue|Newport Shores|N/A|Welch, Ramos and Evans|2024-07-01|106|106|0|2024-12-21|N/A|N/A
391|517|Smart Water Management|In Progress|2024-05-09|TBD|175944.75|170591.39|0.0|TBD|TBD|TBD|Addition|6411|Bellevue|Somerset|Hutchinson-Krueger|Merritt-Hansen|2024-04-27|71|71|0|2024-06-22|N/A|N/A
392|44|Voice Control Integration|Completed|2021-10-26|2022-03-03|165777.0|158990.36|0|TBD|4 years|Standard|Addition|3130|Redmond|Sammamish Valley|Cooper, Martin and Edwards|Castaneda, Prince and Thomas|2021-10-19|499|623|58|2022-01-11|Weather|4
393|555|Outdoor Entertainment System|Completed|2024-09-01|2024-09-29|112559.48|137953.87|0|TBD|5 years|None|New Construction|3084|Seattle|Medina|Dunlap Ltd|Brewer, Mason and Hampton|2024-07-22|267|372|0|2024-10-29|N/A|4
394|235|Whole Home Battery Backup|In Progress|2024-10-08|TBD|166716.75|156452.8|0.0|TBD|TBD|TBD|New Construction|4994|Bellevue|Somerset|Foster LLC|Russo PLC|2024-09-07|537|537|0|2024-12-02|N/A|N/A
395|198|Automated Shading Solutions|Contract Signed|2021-10-31|N/A|21353.5|TBD|0.0|TBD|TBD|TBD|System Upgrade|10717|Bellevue|Beaux Arts|Mckinney, Davis and Collier|Henry-Page|2021-10-13|198|TBD|0|2022-04-21|N/A|N/A
396|356|Custom Wine Cellar Monitoring|Completed|2024-05-26|2024-08-10|239567.62|237300.76|0|TBD|5 years|Basic|System Upgrade|4667|Mercer Island|South End|Hernandez-Lara|Clarke Ltd|2024-05-04|72|72|0|2024-09-09|N/A|3
397|655|Outdoor Entertainment System|Contract Signed|2022-10-06|N/A|298823.87|TBD|0.0|TBD|TBD|TBD|Major Remodel|3125|Kirkland|Juanita|N/A|Wells Group|2022-08-22|189|TBD|0|2023-02-26|N/A|N/A
398|637|Integrated Climate Control|In Progress|2024-09-23|TBD|27264.12|29590.48|0.0|TBD|TBD|TBD|New Construction|4192|Seattle|Medina|Keith, Ford and Johnson|Hampton, Thomas and Tapia|2024-08-07|81|81|0|2025-02-25|N/A|N/A
399|180|Home Network Infrastructure|Completed|2024-12-29|2025-03-10|122595.28|140308.41|0|TBD|5 years|Premium|System Upgrade|13302|Seattle|Broadmoor|Carson LLC|Garrison, Jackson and Pineda|2024-10-09|348|413|0|2025-03-31|N/A|3
400|246|Custom Wine Cellar Monitoring|Completed|2023-11-11|2024-02-25|222237.66|271260.65|0|TBD|1 years|Standard|New Construction|6635|Mercer Island|North End|N/A|Rojas LLC|2023-10-03|63|61|0|2024-02-06|Subcontractor Issues|5
401|707|Whole-Home Automation|Completed|2023-04-05|2023-06-01|217233.47|227528.18|0|TBD|5 years|Basic|New Construction|9866|Sammamish|Sahalee|Smith-Park|Gonzalez, Mejia and Hall|2023-01-31|366|422|22|2023-05-08|Subcontractor Issues|4
402|409|Smart Water Management|Completed|2021-11-10|2022-03-30|171409.52|177273.0|0|TBD|1 years|None|System Upgrade|9082|Kirkland|Houghton|Houston, Hartman and Johnston|Thompson Ltd|2021-10-22|479|507|0|2022-04-28|N/A|5
403|741|Luxury Home Theater|In Progress|2023-06-29|TBD|68094.94|64280.97|0.0|TBD|TBD|TBD|New Construction|11389|Bellevue|West Bellevue|Carson Inc|Higgins-Keller|2023-06-20|468|468|0|2023-09-24|Weather|N/A
404|289|Home Network Infrastructure|Contract Signed|2024-06-11|N/A|127526.83|TBD|0.0|TBD|TBD|TBD|Addition|5954|Bellevue|Beaux Arts|Mendoza-Stewart|Brown, Johnson and Buckley|2024-06-03|342|TBD|0|2024-10-20|N/A|N/A
405|408|Smart Home Integration|Completed|2022-05-08|2022-08-07|183935.05|182851.06|0|TBD|1 years|Basic|New Construction|14798|Bellevue|Beaux Arts|Franklin-King|Mcbride Ltd|2022-03-26|218|221|0|2022-08-10|N/A|3
406|673|Biometric Security System|Completed|2022-11-02|2023-02-26|22007.71|23045.21|0|TBD|2 years|None|New Construction|6918|Woodinville|Bear Creek|Strong LLC|Russell-Miller|2022-10-05|509|669|149|2023-02-20|Client Changes|4
407|707|Biometric Security System|Completed|2022-11-24|2023-03-01|99913.59|104693.15|0|TBD|3 years|Standard|Major Remodel|12913|Kirkland|Juanita|Miller, Levy and Wilson|Figueroa-Blair|2022-10-01|407|554|0|2023-03-08|N/A|3
408|181|Smart Home Integration|Completed|2021-07-05|2021-09-05|166579.33|189825.63|0|TBD|1 years|Basic|New Construction|8884|Mercer Island|North End|N/A|Green PLC|2021-06-27|537|737|153|2021-08-29|Weather|3
409|429|Integrated Climate Control|Completed|2023-02-23|2023-08-13|232577.14|261658.37|0|TBD|2 years|Premium|System Upgrade|3124|Seattle|Laurelhurst|Richardson, Jones and Lewis|Hanson, Holt and Stafford|2023-01-21|45|44|0|2023-07-24|Material Delays|3
410|619|Integrated Climate Control|Design Phase|2024-04-13|N/A|94491.71|TBD|0.0|TBD|TBD|TBD|Major Remodel|11018|Sammamish|Sahalee|Payne-Miller|Allen-Weiss|2024-02-06|285|TBD|0|2024-10-07|N/A|N/A
411|233|Whole Home Battery Backup|Completed|2021-04-30|2021-08-10|40080.44|48456.72|0|TBD|4 years|Basic|System Upgrade|3040|Woodinville|Hollywood Hill|Tate and Sons|Mejia PLC|2021-03-07|389|352|0|2021-07-16|Weather|4
412|630|Smart Home Integration|Completed|2022-12-06|2023-02-28|121472.32|131420.36|0|TBD|4 years|None|System Upgrade|7015|Kirkland|Houghton|Andrade Ltd|Shaw and Sons|2022-11-21|179|160|0|2023-03-01|N/A|4
413|483|Golf Simulator Room|In Progress|2025-03-31|TBD|373648.9|389454.13|0.0|TBD|TBD|TBD|System Upgrade|3957|Bellevue|Somerset|Davis PLC|Castro-Martin|2025-03-15|122|19|0|2025-05-26|N/A|N/A
414|76|Smart Home Integration|In Progress|2025-04-05|TBD|319173.7|328621.43|0.0|TBD|TBD|TBD|Addition|11969|Seattle|Clyde Hill|N/A|Sampson, Williams and Gardner|2025-03-11|67|4|0|2025-06-06|N/A|N/A
415|25|Smart Home Integration|Proposal|2024-07-03|N/A|265301.04|TBD|0.0|TBD|TBD|TBD|Addition|10839|Sammamish|Trossachs|Dawson, Lane and Byrd|Pacheco-Moore|2024-06-04|291|TBD|0|2024-09-04|N/A|N/A
416|226|Multi-Room Audio Video|Completed|2023-09-06|2023-11-28|42889.14|42817.12|0|TBD|5 years|Basic|System Upgrade|13602|Redmond|Education Hill|N/A|Summers Inc|2023-08-01|383|354|0|2023-11-27|Subcontractor Issues|3
417|252|Automated Lighting Control|Proposal|2021-06-21|N/A|24449.82|TBD|0.0|TBD|TBD|TBD|New Construction|7011|Kirkland|Houghton|Johnston, Lawrence and Palmer|Lambert and Sons|2021-06-12|359|TBD|0|2021-08-28|N/A|N/A
418|700|Biometric Security System|Completed|2024-01-07|2024-05-13|156526.1|160132.79|0|TBD|4 years|Basic|System Upgrade|4692|Redmond|Sammamish Valley|Long-Hoffman|Clark, Ramos and Hernandez|2023-11-08|289|356|26|2024-03-15|Weather|4
419|188|Voice Control Integration|Completed|2022-12-03|2023-05-06|76811.46|84476.44|1652.12|TBD|1 years|None|Major Remodel|9042|Seattle|Hunts Point|N/A|Ibarra-Garrett|2022-11-15|255|236|0|2023-03-30|Client Changes|4
420|124|Golf Simulator Room|Completed|2022-10-10|2023-02-05|112375.49|124113.15|2499.3|TBD|4 years|None|Major Remodel|7565|Issaquah|Squak Mountain|Brown-Evans|Beard, Mooney and Pruitt|2022-09-12|294|404|46|2023-01-04|Subcontractor Issues|4
421|612|Custom Security System|Completed|2023-04-14|2023-08-24|69193.48|82012.18|0|TBD|5 years|Basic|Major Remodel|10328|Kirkland|Juanita|N/A|Smith Ltd|2023-02-17|45|53|6|2023-08-02|Material Delays|4
422|191|Home Network Infrastructure|In Progress|2025-02-23|TBD|335795.21|307114.89|0.0|TBD|TBD|TBD|New Construction|7934|Kirkland|Juanita|Vazquez PLC|Montgomery PLC|2024-12-23|491|491|0|2025-03-30|N/A|N/A
423|383|Whole-Home Automation|In Progress|2022-02-06|TBD|122213.25|118421.92|0.0|TBD|TBD|TBD|Addition|14846|Issaquah|Squak Mountain|Roberts-Morris|Rodriguez Ltd|2021-12-11|512|512|0|2022-07-12|N/A|N/A
424|711|Multi-Room Audio Video|In Progress|2023-12-01|TBD|50994.27|50512.72|0.0|TBD|TBD|TBD|Major Remodel|6981|Seattle|Queen Anne|Harrington Inc|Nelson LLC|2023-10-10|509|509|0|2024-01-13|N/A|N/A
425|116|Custom Wine Cellar Monitoring|Completed|2024-03-08|2024-05-24|20830.14|21225.82|0|TBD|4 years|None|Major Remodel|11523|Kirkland|Juanita|Richardson, Johnson and Snyder|Kline-Wells|2024-01-28|364|453|0|2024-06-15|N/A|4
426|463|Home Network Infrastructure|Completed|2021-10-11|2021-11-24|63115.32|78009.74|0|TBD|5 years|Basic|Major Remodel|6352|Woodinville|Bear Creek|Cooper-Mckenzie|Chavez-Potter|2021-09-26|67|90|0|2021-12-18|N/A|5
427|344|Biometric Security System|Design Phase|2023-02-20|N/A|200295.03|TBD|0.0|TBD|TBD|TBD|New Construction|14424|Seattle|Queen Anne|Howard Ltd|Hernandez-Jones|2022-12-19|210|TBD|0|2023-07-30|N/A|N/A
428|669|Custom Security System|Completed|2022-06-03|2022-10-30|336021.54|336340.75|0|TBD|5 years|Premium|New Construction|12239|Seattle|Queen Anne|N/A|Avila-Clark|2022-04-05|485|448|0|2022-09-14|Subcontractor Issues|4
429|222|Biometric Security System|Proposal|2021-01-02|N/A|56933.46|TBD|0.0|TBD|TBD|TBD|System Upgrade|11693|Mercer Island|South End|N/A|Johnson-Gonzalez|2020-12-12|338|TBD|0|2021-04-26|N/A|N/A
430|535|Smart Home Integration|Completed|2025-02-11|2025-03-30|144948.4|157230.85|0|TBD|3 years|Standard|New Construction|14257|Seattle|Queen Anne|Moyer-Gordon|Davis Ltd|2024-12-28|332|399|7|2025-03-22|Material Delays|3
431|391|Luxury Home Theater|In Progress|2021-07-31|TBD|89125.82|91344.44|0.0|TBD|TBD|TBD|New Construction|4689|Bellevue|Newport Shores|Bray, Brown and Townsend|Fischer, Bray and Maddox|2021-06-20|528|528|0|2021-10-24|N/A|N/A
