SupplierID|Name|ContactName|ContactPhone|ContactEmail|PaymentTerms|PreferredStatus|ProductCategories|AuthorizedDealerFor|MinimumOrder|LastOrderDate|LeadTime|Discontinued
116|Johnson, Reyes and Armstrong|Laura Burns|(892)985-5162x15938|wrhodes@gibbs.com|Net 30 Premium|Preferred|"Smart Home Processors|Ultra HD Projectors|Premium Cables & Connectors|High-End Networking Equipment"|"Axis|Integra"|$550.0|2024-05-27|8 days|No
117|Suarez-Pope|Linda Williams|5725288341|lori39@jones.com|Custom Terms|Standard|"Voice Control Systems|Motorized Shading"|Integra|$0.0|2021-03-24|33 days|No
118|Mcdonald, Mathews and Martin|Vanessa Perez|(235)979-6714x8030|lindaschroeder@bridges-castro.com|Custom Terms|Standard|"Enterprise-Grade WiFi|Biometric Security"|JBL Synthesis|$1100.0|2025-02-27|41 days|No
119|Holloway-Palmer|Grace Fry|+1-363-479-4128x86691|summerrobles@jones.com|Net 45|Preferred|"Premium Cables & Connectors|Biometric Security|High-End Networking Equipment|Smart Glass Solutions|Luxury Control Interfaces"|"RTI|Ruckus|Bowers & Wilkins|Anthem"|$550.0|2023-01-22|27 days|No
120|Delacruz-Trujillo|Brian Burns|+1-789-525-9465x7446|nicholasfuentes@mitchell-jones.net|Net 60|Standard|"Premium Speakers|Luxury Control Interfaces|Distributed Audio Systems|Custom Lighting Controls"|"Anthem|Axis|Epson Pro Cinema"|$2750.0|2022-08-13|29 days|No
121|Salinas Ltd|Sarah Stein|313-567-3805x20388|umonroe@palmer-deleon.net|Net 60|Standard|"Ultra HD Projectors|Enterprise-Grade WiFi|Premium Cables & Connectors|Premium Speakers|Luxury Control Interfaces"|"Sony Professional|Integra|Lutron"|$2750.0|2024-03-26|11 days|No
122|Atkins-Crosby|Michael Martin|348-333-3540|scottweaver@smith-smith.info|Custom Terms|Standard|Custom Lighting Controls|Lutron|$0.0|2021-07-07|24 days|No
123|Mora-Harrison|Dr. Adam Fisher|+1-976-318-3762x95076|glopez@thomas-campbell.net|Net 60|Standard|"Smart Glass Solutions|Custom Lighting Controls|Voice Control Systems"|Dynaudio|$0.0|2024-02-23|16 days|No
124|Foster, Williams and Evans|Robin Walker|926.645.6496|chapmanchristopher@morris.com|Net 45|Preferred|"Voice Control Systems|Custom Lighting Controls|Luxury Control Interfaces|Motorized Shading|Biometric Security"|"Crestron|Martin Logan|RTI"|$0.0|2020-08-22|3 days|No
125|Maldonado, Hughes and Buck|Laura Sanford|001-370-734-2519x7018|lopezvictoria@riley.com|Net 30 Premium|Preferred|Distributed Audio Systems|Paradigm|$2750.0|2020-02-20|28 days|No
126|Ramirez-Wilson|David George|+1-962-752-6022x1690|wyatt29@gonzalez.net|Custom Terms|Standard|Smart Home Processors|"Triad|JBL Synthesis"|$2750.0|2024-08-09|45 days|No
127|Avila LLC|Ryan Fowler|7656735174|xberry@mccarthy.com|Net 45|Standard|"Luxury Control Interfaces|Biometric Security|Ultra HD Projectors|Cinema Room Acoustics"|"Josh.ai|Dynaudio"|$550.0|2024-02-27|33 days|No
128|Williams-Morton|Thomas Sanchez|295-558-9799|lindsey97@vasquez.com|Custom Terms|Preferred|"Biometric Security|Premium Speakers|Smart Glass Solutions"|"Stewart Filmscreen|Screen Innovations|McIntosh"|$2750.0|2022-08-08|30 days|No
129|Lyons-Lee|Jonathan Solomon|001-841-624-6051|kathleenwelch@flores.com|Custom Terms|Preferred|"Custom Lighting Controls|Premium Speakers|Smart Glass Solutions"|"Control4|NAD|Axis"|$2750.0|2020-10-12|32 days|No
130|Avila Group|Jennifer Marshall|+1-560-206-4345x97317|jeremiahbaker@goodman-sharp.info|Net 45|Preferred|"High-End Networking Equipment|Distributed Audio Systems"|"Dynaudio|Sonos|Elan|Kaleidescape"|$1100.0|2021-12-21|32 days|No
131|Gaines-Terrell|Deborah Oneill|904-584-8094|weavervicki@smith-peterson.com|Net 60|Standard|"Smart Home Processors|Enterprise-Grade WiFi"|Paradigm|$2750.0|2022-02-10|41 days|No
132|Webb Group|Sarah Macdonald|(894)676-1110x797|rcox@bell.org|Net 60|Preferred|"Voice Control Systems|Distributed Audio Systems|Enterprise-Grade WiFi|Biometric Security|Automated Door Systems"|"Axis|Stewart Filmscreen|Sonos"|$0.0|2020-04-02|13 days|No
133|Hernandez-Hughes|Elizabeth Morgan|+1-803-490-9846x85606|hjones@huynh.info|Custom Terms|Preferred|Custom Lighting Controls|"Triad|McIntosh"|$550.0|2025-01-16|27 days|No
134|Weber Group|Stefanie Gonzales|(470)939-9626x377|santiagochristopher@malone-mcneil.com|Net 60|Preferred|"Cinema Room Acoustics|Premium Speakers|Ultra HD Projectors|Smart Glass Solutions"|NAD|$1100.0|2024-04-12|41 days|No
135|Spencer Group|Matthew Johnson|+1-424-532-3330|johnnygray@olsen-preston.biz|Net 45|Preferred|Cinema Room Acoustics|"Screen Innovations|Sony Professional|RTI|JBL Synthesis"|$2750.0|2022-10-02|21 days|No
136|Mercer, Green and Perez|Jennifer Cooper|(635)378-6529|williamsanchez@davenport.com|Net 45|Preferred|"Premium Cables & Connectors|Automated Door Systems"|McIntosh|$0.0|2021-02-20|11 days|No
137|Schmidt-Clayton|Joseph Chan|231-719-8042x55428|terriortiz@arellano-diaz.com|Net 30 Premium|Preferred|"Enterprise-Grade WiFi|Premium Cables & Connectors|Smart Glass Solutions"|"RTI|Linn|Paradigm|Dynaudio"|$1100.0|2021-12-22|42 days|No
138|Hawkins-Arellano|Joseph Yu|+1-360-520-3922|starkaustin@howell.com|Custom Terms|Standard|"Enterprise-Grade WiFi|Premium Speakers"|"Sonos|Bowers & Wilkins|Sony Professional|Ruckus"|$0.0|2020-07-25|34 days|No
139|Morales, Perry and Clark|Laura Anderson|798.872.8731x4249|barbarawilson@ray.com|Net 60|Preferred|"Distributed Audio Systems|High-End Networking Equipment|Ultra HD Projectors|Motorized Shading|Smart Home Processors"|"Sonos|Josh.ai|Integra"|$550.0|2020-06-02|36 days|No
140|Lee and Sons|Katie Ruiz|3514028745|thomaserik@douglas.info|Net 30 Premium|Standard|"Smart Home Processors|Premium Cables & Connectors|Smart Glass Solutions|Ultra HD Projectors|Distributed Audio Systems"|"Savant|Control4|Ubiquiti"|$1100.0|2022-05-13|15 days|No
141|Evans-Valentine|Donald Jimenez|(210)346-6275|george97@hill-bryan.com|Net 45|Standard|Luxury Control Interfaces|"Lutron|Triad|Martin Logan"|$0.0|2020-05-29|25 days|No
142|Sanders, Olson and Kerr|Nicholas Frederick|530.895.8723|simmonslaura@rogers-levine.com|Custom Terms|Standard|"Smart Glass Solutions|Voice Control Systems|Cinema Room Acoustics|Premium Speakers"|"Control4|McIntosh|Martin Logan"|$550.0|2022-11-05|44 days|No
143|Taylor Group|Patrick Schmidt|419.270.1501x96797|michaelduncan@wilson.com|Net 30 Premium|Preferred|"Smart Home Processors|Enterprise-Grade WiFi|Motorized Shading|Ultra HD Projectors"|"Screen Innovations|Savant"|$2750.0|2023-02-05|6 days|No
144|Cummings, Gomez and Allen|Tracy Cole|3497379582|robin11@kirby-pham.info|Custom Terms|Standard|"Voice Control Systems|Luxury Control Interfaces|Premium Cables & Connectors|Cinema Room Acoustics"|NAD|$1100.0|2020-08-29|25 days|No
145|Campbell and Sons|Sue Owens|841.442.4873x962|carolyn88@steele.com|Net 30 Premium|Standard|"Cinema Room Acoustics|Ultra HD Projectors|Motorized Shading|Enterprise-Grade WiFi"|"Barco|Control4"|$0.0|2024-06-30|18 days|No
146|Andrews, Davila and Conner|Jerry Wolf|+1-967-972-4434x3549|cassandracamacho@woods-morgan.biz|Net 45|Standard|Ultra HD Projectors|"Control4|Cisco Meraki|Axis"|$550.0|2023-05-18|21 days|No
147|York, Walker and Stone|Amanda Moore|001-903-848-0424|simsjennifer@mitchell.com|Net 30 Premium|Preferred|"Custom Lighting Controls|Biometric Security|Premium Speakers|Automated Door Systems"|"Martin Logan|Axis"|$550.0|2025-01-12|31 days|No
148|Perez-Perry|Christopher Reyes|001-322-654-9203x69309|gaineserika@owens.com|Net 45|Standard|"Enterprise-Grade WiFi|Distributed Audio Systems|Smart Home Processors"|"Cisco Meraki|Dynaudio|McIntosh"|$1100.0|2020-04-20|29 days|No
149|Lopez-White|Austin Henry|669-900-1842x93359|frank98@allen.com|Net 45|Preferred|"Custom Lighting Controls|Smart Home Processors|Premium Speakers|Motorized Shading|Luxury Control Interfaces"|"Meridian|Somfy"|$550.0|2024-01-24|5 days|No
150|Butler, Perry and Steele|Rebecca Miller|(739)202-2624x736|cortezdouglas@smith.com|Net 30 Premium|Standard|"Biometric Security|Enterprise-Grade WiFi|Custom Lighting Controls|Premium Speakers"|Marantz|$2750.0|2021-07-23|22 days|No
151|Turner-Chavez|Ryan Collins|(678)473-5540|davidharvey@thomas.biz|Net 60|Standard|Ultra HD Projectors|"Martin Logan|Savant|Screen Innovations|NAD"|$550.0|2020-03-31|16 days|No
152|Clements-Shepherd|Kenneth Howell|939-569-0453x9252|stephen38@mcclain.com|Net 30 Premium|Standard|"Distributed Audio Systems|Ultra HD Projectors|Biometric Security|Smart Home Processors"|"Savant|Ubiquiti|JBL Synthesis"|$550.0|2024-07-17|4 days|No
153|Hall-Peterson|Sara Clark|(636)241-2247|james72@allen.com|Net 30 Premium|Standard|"Premium Cables & Connectors|Automated Door Systems|Cinema Room Acoustics|Voice Control Systems|Ultra HD Projectors"|"Anthem|Epson Pro Cinema|JBL Synthesis"|$2750.0|2020-11-28|32 days|No
154|Moon-Ross|Roberto Murphy|6712555870|edwin45@torres-miller.org|Net 60|Standard|"Luxury Control Interfaces|Ultra HD Projectors"|"Bowers & Wilkins|Triad|Integra"|$2750.0|2021-11-22|5 days|No
155|Watson LLC|Bonnie Hall|7785191350|cheryl41@marquez.info|Net 30 Premium|Preferred|"Smart Home Processors|Biometric Security|Cinema Room Acoustics"|"JBL Synthesis|Elan|NAD"|$0.0|2022-08-05|31 days|Yes
156|Howard-Avery|Jenna Salinas|(882)446-3061|powersmonique@diaz.com|Custom Terms|Standard|High-End Networking Equipment|"Barco|Lutron"|$0.0|2023-04-01|20 days|No
157|Smith Inc|Todd Edwards|320-659-8685x6977|ginaschwartz@johnson-mahoney.com|Net 60|Preferred|"High-End Networking Equipment|Premium Speakers|Custom Lighting Controls|Luxury Control Interfaces|Smart Home Processors"|"Sony Professional|KEF|Elan|Kaleidescape"|$0.0|2024-11-19|17 days|No
158|Cannon, Johnson and Williams|Pamela Butler|303-592-7888|campbellterri@douglas-cruz.com|Custom Terms|Standard|Luxury Control Interfaces|KEF|$1100.0|2020-05-04|19 days|Yes
159|Mills, Russell and Romero|Morgan Davis|+1-856-990-5096x56882|alexandriasmith@klein.com|Net 45|Preferred|"Distributed Audio Systems|Voice Control Systems|Ultra HD Projectors"|Dynaudio|$0.0|2022-06-27|35 days|No
160|Little, Spencer and Nunez|Donna Moore|573.256.4078|brandonross@farley-meyer.org|Net 60|Standard|"High-End Networking Equipment|Smart Glass Solutions"|"Sonos|Epson Pro Cinema|Integra|Kaleidescape"|$1100.0|2020-02-20|41 days|No
